"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12534",12534,"MATH&141","B012","2",2,"B013","",2.75,10,10,91,NA,"87",32,"",NA,8687
"12535",12535,"MATH&141","B012","3.9",3.9,"B234","",3.53,15,15,99,NA,"94",49,"",NA,2281
"12536",12536,"MATH&151","B012","0.1",0.1,"B013","",0.7,15,5,97,NA,"97",89,"78",650,7211
"12537",12537,"MATH062","B012","2.9",2.9,"B014","",2.33,20,17,91,42,"21",NA,"",NA,6819
"12538",12538,"MATH072","B342","3.9",3.9,"B343","",3.75,10,10,92,NA,"49",NA,"",NA,4373
"12539",12539,"MATH&141","B122","0",0,"B342","12/7/2011",1.58,18,11,94,58,"32",NA,"",NA,7827
"12540",12540,"MATH072","B012","3.1",3.1,"B342","",3.33,18,18,94,58,"32",NA,"",NA,7827
"12541",12541,"MATH097","B013","0",0,"B342","3/16/2011",0.66,16,6,94,58,"32",NA,"",NA,7827
"12542",12542,"MATH097","B014","2.5",2.5,"B342","",0.83,15,5,94,58,"32",NA,"",NA,7827
"12543",12543,"MATH070","B013","0.6",0.6,"B232","",1.73,13,8,99,23,"50",NA,"",NA,12046
"12544",12544,"MATH070","B014","2.9",2.9,"B232","",3.1,15,15,99,23,"50",NA,"",NA,12046
"12545",12545,"MATH072","B123","1.3",1.3,"B232","",2.7,15,15,99,23,"50",NA,"",NA,12046
"12546",12546,"MATH072","B124","1.2",1.2,"B232","",1.5,12,12,99,23,"50",NA,"",NA,12046
"12547",12547,"MATH072","B231","2.2",2.2,"B232","",1.1,12,7,99,23,"50",NA,"",NA,12046
"12548",12548,"MATH&141","B123","2",2,"B234","",1.63,8,8,88,NA,"67",NA,"",415,2463
"12549",12549,"MATH&142","B233","0",0,"B234","3/21/2013",2,15,10,88,NA,"67",NA,"",415,2463
"12550",12550,"MATH097","B122","3.8",3.8,"B234","",2.77,20,20,88,NA,"67",NA,"",415,2463
"12551",12551,"MATH070","B123","3.5",3.5,"B124","",3.05,10,10,89,78,"20",NA,"",325,1078
"12552",12552,"MATH062","B122","2",2,"B123","",2.35,10,10,78,31,"",NA,"",NA,5814
"12553",12553,"MATH072","B013","4",4,"B234","",3.6,15,15,86,NA,"41",NA,"",NA,6653
"12554",12554,"MATH097","B014","3.6",3.6,"B234","3/28/2011",2.2,15,15,86,NA,"41",NA,"",NA,6653
"12555",12555,"MATH147","B232","2.3",2.3,"B234","",2.77,15,15,86,NA,"41",NA,"",NA,6653
"12556",12556,"MATH&141","B122","3.6",3.6,"B124","",3.79,14,14,89,41,"",NA,"",NA,1715
"12557",12557,"MATH&142","B123","2.7",2.7,"B124","",3.57,15,15,89,41,"",NA,"",NA,1715
"12558",12558,"MATH072","B012","4",4,"B013","",3.7,10,10,70,NA,"44",NA,"",NA,4593
"12559",12559,"MATH097","B013","4",4,"B013","",4,5,5,70,NA,"44",NA,"",NA,4593
