"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"5444",5444,"MATH070","B121","3",3,"B344","",2.71,12,12,97,31,"",NA,"",NA,9421,TRUE,TRUE,TRUE,3
"5445",5445,"MATH072","B123","2.9",2.9,"B344","",2.85,15,10,97,31,"",NA,"",NA,9421,TRUE,TRUE,TRUE,2.9
"5446",5446,"MATH097","B124","2.5",2.5,"B344","",2.35,10,10,97,31,"",NA,"",NA,9421,TRUE,TRUE,TRUE,2.5
"5447",5447,"MATH147","B232","1",1,"B344","",0.5,10,5,97,31,"",NA,"",NA,9421,TRUE,FALSE,FALSE,1
"5448",5448,"MATH147","B234","3.4",3.4,"B344","",3.4,5,5,97,31,"",NA,"",NA,9421,TRUE,TRUE,TRUE,3.4
"5449",5449,"MATH072","B234","2.6",2.6,"B342","",2.4,15,15,90,61,"16",NA,"",NA,10619,TRUE,TRUE,TRUE,2.6
"5450",5450,"MATH072","B014","W",NA,"B014","4/12/2011",0,5,0,89,NA,"34",NA,"",NA,4647,FALSE,FALSE,FALSE,-0.1
"5451",5451,"MATH070","B013","1.8",1.8,"B014","",1.43,15,10,93,65,"25",NA,"",NA,8144,TRUE,FALSE,FALSE,1.8
"5452",5452,"MATH072","B123","3.6",3.6,"B234","",3.5,20,20,65,NA,"49",NA,"",NA,7382,TRUE,TRUE,TRUE,3.6
"5453",5453,"MATH097","B124","3.2",3.2,"B234","",3.37,15,15,65,NA,"49",NA,"",NA,7382,TRUE,TRUE,TRUE,3.2
"5454",5454,"MATH070","B341","3.6",3.6,"B344","",3.75,10,10,87,27,"17",NA,"",NA,2105,TRUE,TRUE,TRUE,3.6
"5455",5455,"MATH072","B342","3.8",3.8,"B344","",3.8,10,10,87,27,"17",NA,"",NA,2105,TRUE,TRUE,TRUE,3.8
"5456",5456,"MATH097","B342","3.8",3.8,"B344","",3.8,10,10,87,27,"17",NA,"",NA,2105,TRUE,TRUE,TRUE,3.8
"5457",5457,"MATH062","B011","1.4",1.4,"B124","",2.7,10,10,66,21,"18",15,"",NA,6279,TRUE,FALSE,FALSE,1.4
"5458",5458,"MATH062","B013","0.1",0.1,"B124","",0.81,15,3,66,21,"18",15,"",NA,6279,FALSE,FALSE,FALSE,0.1
"5459",5459,"MATH062","B014","2.2",2.2,"B124","",2.2,5,5,66,21,"18",15,"",NA,6279,TRUE,TRUE,FALSE,2.2
"5460",5460,"MATH062","B123","2.8",2.8,"B124","",0.97,15,5,66,21,"18",15,"",NA,6279,TRUE,TRUE,TRUE,2.8
"5461",5461,"MATH&107","B124","0",0,"B124","4/25/2012",0,15,0,95,NA,"48",NA,"",490,4799,FALSE,FALSE,FALSE,0
"5462",5462,"MATH072","B234","3.7",3.7,"B343","",3.55,10,10,92,NA,"40",NA,"",NA,8087,TRUE,TRUE,TRUE,3.7
"5463",5463,"MATH097","B341","2.5",2.5,"B343","",2.5,5,5,92,NA,"40",NA,"",NA,8087,TRUE,TRUE,TRUE,2.5
"5464",5464,"MATH&142","B012","2.5",2.5,"B341","",1.45,10,5,88,NA,"35",NA,"",NA,1308,TRUE,TRUE,TRUE,2.5
"5465",5465,"MATH&151","B013","W",NA,"B341","2/12/2011",1.17,11,6,88,NA,"35",NA,"",NA,1308,FALSE,FALSE,FALSE,-0.1
"5466",5466,"MATH&151","B014","0",0,"B341","5/13/2011",0.65,10,5,88,NA,"35",NA,"",NA,1308,FALSE,FALSE,FALSE,0
"5467",5467,"MATH&151","B123","W",NA,"B341","2/29/2012",2.9,10,5,88,NA,"35",NA,"",NA,1308,FALSE,FALSE,FALSE,-0.1
"5468",5468,"MATH&151","B234","1.5",1.5,"B341","",1.25,15,10,88,NA,"35",NA,"",NA,1308,TRUE,FALSE,FALSE,1.5
"5469",5469,"MATH&151","B012","0.4",0.4,"B341","",1.73,15,10,96,NA,"85",51,"",557,3220,FALSE,FALSE,FALSE,0.4
"5470",5470,"MATH&107","B341","0",0,"B344","8/13/2013",0.8,10,5,98,59,"45",NA,"",NA,7389,FALSE,FALSE,FALSE,0
"5471",5471,"MATH097","B012","2.5",2.5,"B344","",1.8,15,10,98,59,"45",NA,"",NA,7389,TRUE,TRUE,TRUE,2.5
"5472",5472,"MATH&141","B011","0",0,"B014","8/11/2010",1,10,5,86,60,"37",NA,"",NA,7388,FALSE,FALSE,FALSE,0
"5473",5473,"MATH&141","B012","0",0,"B014","11/30/2010",1.25,10,5,86,60,"37",NA,"",NA,7388,FALSE,FALSE,FALSE,0
"5474",5474,"MATH&141","B013","1",1,"B014","",2.43,15,15,86,60,"37",NA,"",NA,7388,TRUE,FALSE,FALSE,1
"5475",5475,"MATH147","B121","0.1",0.1,"B121","",0.6,10,5,99,NA,"",NA,"",NA,7885,FALSE,FALSE,FALSE,0.1
"5476",5476,"MATH097","B012","W",NA,"B013","11/12/2010",1,15,5,94,NA,"34",NA,"",380,8577,FALSE,FALSE,FALSE,-0.1
"5477",5477,"MATH097","B013","0",0,"B013","1/27/2011",0,15,0,94,NA,"34",NA,"",380,8577,FALSE,FALSE,FALSE,0
"5478",5478,"MATH072","B012","3.8",3.8,"B231","",1.97,15,10,93,NA,"34",NA,"",NA,99,TRUE,TRUE,TRUE,3.8
"5479",5479,"MATH097","B013","2.5",2.5,"B231","",2.7,15,15,93,NA,"34",NA,"",NA,99,TRUE,TRUE,TRUE,2.5
"5480",5480,"MATH147","B014","2.8",2.8,"B231","",2.77,15,15,93,NA,"34",NA,"",NA,99,TRUE,TRUE,TRUE,2.8
"5481",5481,"MATH&151","B121","W",NA,"B343","7/1/2011",0,15,0,94,NA,"45",NA,"",NA,10463,FALSE,FALSE,FALSE,-0.1
"5482",5482,"MATH&151","B124","2.4",2.4,"B343","",2.47,15,15,94,NA,"45",NA,"",NA,10463,TRUE,TRUE,FALSE,2.4
"5483",5483,"MATH147","B013","0",0,"B014","2/14/2011",1.93,15,10,98,NA,"52",NA,"",NA,998,FALSE,FALSE,FALSE,0
"5484",5484,"MATH147","B011","2.5",2.5,"B014","",2.5,5,5,93,49,"39",20,"",NA,9236,TRUE,TRUE,TRUE,2.5
"5485",5485,"MATH072","B011","3.6",3.6,"B011","",3.4,10,10,75,48,"48",NA,"",NA,10734,TRUE,TRUE,TRUE,3.6
"5486",5486,"MATH062","B011","1.9",1.9,"B234","",2.55,15,15,81,35,"23",NA,"",NA,633,TRUE,FALSE,FALSE,1.9
"5487",5487,"MATH062","B123","2.5",2.5,"B234","",2,10,10,81,35,"23",NA,"",NA,633,TRUE,TRUE,TRUE,2.5
"5488",5488,"MATH070","B232","2.5",2.5,"B234","",2.5,12,12,81,35,"23",NA,"",NA,633,TRUE,TRUE,TRUE,2.5
"5489",5489,"MATH072","B233","3.6",3.6,"B234","",1.8,15,5,81,35,"23",NA,"",NA,633,TRUE,TRUE,TRUE,3.6
"5490",5490,"MATH097","B234","W",NA,"B234","4/17/2013",0,5,0,81,35,"23",NA,"",NA,633,FALSE,FALSE,FALSE,-0.1
"5491",5491,"MATH072","B014","2.4",2.4,"B344","",3.2,12,12,80,22,"35",NA,"",NA,3300,TRUE,TRUE,FALSE,2.4
"5492",5492,"MATH072","B123","3.8",3.8,"B344","",3.85,10,10,80,22,"35",NA,"",NA,3300,TRUE,TRUE,TRUE,3.8
"5493",5493,"MATH097","B124","3.4",3.4,"B344","",3.75,12,12,80,22,"35",NA,"",NA,3300,TRUE,TRUE,TRUE,3.4
"5494",5494,"MATH062","B012","4",4,"B014","",3.23,13,13,99,NA,"28",NA,"",NA,8870,TRUE,TRUE,TRUE,4
"5495",5495,"MATH&142","B012","1.2",1.2,"B123","",3.2,21,21,99,NA,"",NA,"",NA,4848,TRUE,FALSE,FALSE,1.2
"5496",5496,"MATH097","B013","4",4,"B014","",4,5,5,89,NA,"26",NA,"",385,8142,TRUE,TRUE,TRUE,4
"5497",5497,"MATH147","B014","2.3",2.3,"B014","",2.55,10,10,89,NA,"26",NA,"",385,8142,TRUE,TRUE,FALSE,2.3
"5498",5498,"MATH&107","B013","1.5",1.5,"B121","",1,15,10,87,NA,"96",42,"",NA,2863,TRUE,FALSE,FALSE,1.5
"5499",5499,"MATH072","B014","4",4,"B343","",3.4,11,11,90,NA,"39",NA,"",NA,5357,TRUE,TRUE,TRUE,4
"5500",5500,"MATH097","B231","0",0,"B343","8/16/2012",0,5,0,90,NA,"39",NA,"",NA,5357,FALSE,FALSE,FALSE,0
"5501",5501,"MATH097","B232","0",0,"B343","11/5/2012",0,5,0,90,NA,"39",NA,"",NA,5357,FALSE,FALSE,FALSE,0
